num,分野,問題名,出典,難易度,趣旨,タイトル案,pdf_pages,thumb,ステータス,更新日時,intro
1,力学,斜方投射と相対運動,24 防衛医大,A,気球から投げた小球を相対運動でとらえる,気球から投げた小球を相対運動でとらえる｜物理重要問題集 力学 問1【高校物理】,1,rikigaku_問001.png,完成,2026-07-26 09:04,完成
2,力学,速度の合成,21 東京都立大,A,流れる川を渡る船の速度合成と往復時間,流れる川を渡る船の速度合成と往復時間｜物理重要問題集 力学 問2【高校物理】,2,rikigaku_問002.png,完成,2026-07-26 09:04,完成
3,力学,斜面をすべり上がる物体の速度測定,17 広島工大 改,A,v-tグラフから加速度と移動距離を読み取る,v-tグラフから加速度と移動距離を読み取る｜物理重要問題集 力学 問3【高校物理】,3,rikigaku_問003.png,完成,2026-07-26 09:04,完成
4,力学,水平投射,22 北海道大,A,台の斜面から水平投射した小球の飛距離,台の斜面から水平投射した小球の飛距離｜物理重要問題集 力学 問4【高校物理】,4,rikigaku_問004.png,完成,2026-07-26 09:04,完成
5,力学,斜方投射と自由落下,25 福島大,A,斜方投射と自由落下が衝突する条件を求める,斜方投射と自由落下が衝突する条件を求める｜物理重要問題集 力学 問5【高校物理】,5,rikigaku_問005.png,完成,2026-07-26 09:04,完成
6,力学,斜面への斜方投射,18 横浜市大 改,A,斜面上の的に斜方投射で命中させる条件,斜面上の的に斜方投射で命中させる条件｜物理重要問題集 力学 問6【高校物理】,6,rikigaku_問006.png,完成,2026-07-26 09:04,完成
7,力学,斜面をのぼる小球の運動,上智大,A,斜面をのぼりきる小球の運動を座標変換で追う,斜面をのぼりきる小球の運動を座標変換で追う｜物理重要問題集 力学 問7【高校物理】,7-8,rikigaku_問007.png,完成,2026-07-26 09:04,完成
8,力学,人と体重計を乗せたゴンドラのつりあい,17 藤田保健衛生大,A,ゴンドラ内の人と体重計にはたらく力のつりあい,ゴンドラ内の人と体重計にはたらく力のつりあい｜物理重要問題集 力学 問8【高校物理】,9,rikigaku_問008.png,完成,2026-07-26 09:04,完成
9,力学,フックの法則とつりあい,湘南工科大,A,2本のばねにはさまれた物体のつりあい,2本のばねにはさまれた物体のつりあい｜物理重要問題集 力学 問9【高校物理】,10,rikigaku_問009.png,完成,2026-07-26 09:04,完成
10,力学,斜面に置かれたロープのつりあい,鳥取大,A,あらい斜面上のロープのつりあいを調べる,あらい斜面上のロープのつりあいを調べる｜物理重要問題集 力学 問10【高校物理】,11,rikigaku_問010.png,完成,2026-07-26 09:04,完成
11,力学,斜面をもつ台にはたらく力のつりあい,山形大 改,A,斜面をもつ台と物体にはたらく力のつりあい,斜面をもつ台と物体にはたらく力のつりあい｜物理重要問題集 力学 問11【高校物理】,12,rikigaku_問011.png,完成,2026-07-26 09:04,完成
12,力学,支柱で支えた棒のつりあい,20 名城大,A,くさび形の支柱で支えた棒のつりあい,くさび形の支柱で支えた棒のつりあい｜物理重要問題集 力学 問12【高校物理】,13,rikigaku_問012.png,完成,2026-07-26 09:04,完成
13,力学,糸でつるされた棒のつりあい,24 山形大,A,糸でつるされた棒にはたらく力のつりあい,糸でつるされた棒にはたらく力のつりあい｜物理重要問題集 力学 問13【高校物理】,14,rikigaku_問013.png,完成,2026-07-26 09:04,完成
14,力学,壁に立てかけた棒のつりあい,20 千葉大,A,壁に立てかけた棒のつりあいを調べる,壁に立てかけた棒のつりあいを調べる｜物理重要問題集 力学 問14【高校物理】,15,rikigaku_問014.png,完成,2026-07-26 09:04,完成
15,力学,半円形の剛体のつりあい,18 立命館大,A,半円形の剛体にはたらく力のつりあい,半円形の剛体にはたらく力のつりあい｜物理重要問題集 力学 問15【高校物理】,16,rikigaku_問015.png,完成,2026-07-26 09:04,完成
16,力学,斜面に置かれた直方体のつりあい,17 東海大,A,斜面上の直方体が倒れない条件を調べる,斜面上の直方体が倒れない条件を調べる｜物理重要問題集 力学 問16【高校物理】,17,rikigaku_問016.png,完成,2026-07-26 09:04,完成
17,力学,液体に浮く棒のつりあい,参考,A,液体に浮かぶ棒のつりあいと浮力を調べる,液体に浮かぶ棒のつりあいと浮力を調べる｜物理重要問題集 力学 問17【高校物理】,18,rikigaku_問017.png,完成,2026-07-26 09:04,完成
18,力学,糸で連結された物体の運動,24 島根大 改,A,斜面上で糸連結された物体の運動,斜面上で糸連結された物体の運動｜物理重要問題集 力学 問18【高校物理】,19,rikigaku_問018.png,完成,2026-07-26 09:04,完成
19,力学,上昇する箱の中の小球の運動,18 愛知工大,A,つり上げられる箱の中の小球の相対運動,つり上げられる箱の中の小球の相対運動｜物理重要問題集 力学 問19【高校物理】,20,rikigaku_問019.png,完成,2026-07-26 09:04,完成
20,力学,気球と気球につるされた小球の運動,22 佐賀大,A,上昇する気球とつるされた小球の運動,上昇する気球とつるされた小球の運動｜物理重要問題集 力学 問20【高校物理】,21,rikigaku_問020.png,完成,2026-07-26 09:04,完成
21,力学,運動の法則と等加速度運動,福岡大,A,手で押す物体の運動方程式と等加速度運動,手で押す物体の運動方程式と等加速度運動｜物理重要問題集 力学 問21【高校物理】,22,rikigaku_問021.png,完成,2026-07-26 09:04,完成
22,力学,滑車と物体の運動,19 九州工大,A,複数の滑車と物体のつりあいと運動,複数の滑車と物体のつりあいと運動｜物理重要問題集 力学 問22【高校物理】,23,rikigaku_問022.png,完成,2026-07-26 09:04,完成
23,力学,力学的エネルギー,拓殖大 改,A,斜面上の運動を力学的エネルギーで追う,斜面上の運動を力学的エネルギーで追う｜物理重要問題集 力学 問23【高校物理】,24,rikigaku_問023.png,完成,2026-07-26 09:04,完成
24,力学,動く斜面上の糸でつるした小球,静岡大,A,動く斜面上で糸につるされた小球の運動,動く斜面上で糸につるされた小球の運動｜物理重要問題集 力学 問24【高校物理】,25,rikigaku_問024.png,完成,2026-07-26 09:04,完成
25,力学,斜面上の物体の運動,名城大 改,A,斜面をもつ台上での物体の運動,斜面をもつ台上での物体の運動｜物理重要問題集 力学 問25【高校物理】,26,rikigaku_問025.png,完成,2026-07-26 09:04,完成
26,力学,斜面をもつ台と小球の運動,23 北海道大,A,斜面をもつ台と小球が一体で動く条件,斜面をもつ台と小球が一体で動く条件｜物理重要問題集 力学 問26【高校物理】,27-28,rikigaku_問026.png,完成,2026-07-26 09:04,完成
27,力学,斜面上の物体の運動と水平面上の台の運動,15 関西学院大,B,斜面上の物体と動く台の運動を滑車でつなぐ,斜面上の物体と動く台の運動を滑車でつなぐ｜物理重要問題集 力学 問27【高校物理】,29-30,rikigaku_問027.png,完成,2026-07-26 09:04,完成
28,力学,2物体のあらい面上での運動,愛知工大,A,2物体があらい面を滑って止まる運動を比べる,2物体があらい面を滑って止まる運動を比べる｜物理重要問題集 力学 問28【高校物理】,31,rikigaku_問028.png,完成,2026-07-26 09:04,完成
29,力学,あらい水平面上の物体の運動,24 佐賀大,A,あらい台上の物体と滑車でつながれた運動,あらい台上の物体と滑車でつながれた運動｜物理重要問題集 力学 問29【高校物理】,32,rikigaku_問029.png,完成,2026-07-26 09:04,完成
30,力学,斜面台上の小物体の運動,23 広島大,A,斜面台上を滑る小物体の運動を調べる,斜面台上を滑る小物体の運動を調べる｜物理重要問題集 力学 問30【高校物理】,33,rikigaku_問030.png,完成,2026-07-26 09:04,完成
31,力学,弾性力と摩擦力による運動,岡山大,A,ばねで押し出された物体の摩擦運動,ばねで押し出された物体の摩擦運動｜物理重要問題集 力学 問31【高校物理】,34,rikigaku_問031.png,完成,2026-07-26 09:04,完成
32,力学,ゴムひもに取りつけられた物体の運動,学習院大,A,ゴムひもにつながれた物体の運動,ゴムひもにつながれた物体の運動｜物理重要問題集 力学 問32【高校物理】,35,rikigaku_問032.png,完成,2026-07-26 09:04,完成
33,力学,空気の抵抗がある物体の運動,岐阜大 改,A,空気抵抗を受ける物体の斜面上の運動,空気抵抗を受ける物体の斜面上の運動｜物理重要問題集 力学 問33【高校物理】,36,rikigaku_問033.png,完成,2026-07-26 09:04,完成
34,力学,液体の抵抗を受ける物体,24 名古屋大,A,液体中を落下する物体が水槽に及ぼす力,液体中を落下する物体が水槽に及ぼす力｜物理重要問題集 力学 問34【高校物理】,37-38,rikigaku_問034.png,完成,2026-07-26 09:04,完成
35,力学,ばねにつながれた物体の運動と運動エネルギー,東京工大,B,ばねにつながれた物体の運動とエネルギー,ばねにつながれた物体の運動とエネルギー｜物理重要問題集 力学 問35【高校物理】,39-40,rikigaku_問035.png,完成,2026-07-26 09:04,完成
36,力学,木材に打ちこまれた弾丸,18 大阪医大,A,木材に撃ちこまれる弾丸の運動量とエネルギー,木材に撃ちこまれる弾丸の運動量とエネルギー｜物理重要問題集 力学 問36【高校物理】,41,rikigaku_問036.png,完成,2026-07-26 09:04,完成
37,力学,動く台車に乗る物体,20 大分大 改,A,動く台車の上に乗る物体の運動量保存,動く台車の上に乗る物体の運動量保存｜物理重要問題集 力学 問37【高校物理】,42,rikigaku_問037.png,完成,2026-07-26 09:04,完成
38,力学,水平面上での2物体の衝突,15 名古屋工大,A,水平面上で衝突する2物体のエネルギー変化,水平面上で衝突する2物体のエネルギー変化｜物理重要問題集 力学 問38【高校物理】,43,rikigaku_問038.png,完成,2026-07-26 09:04,完成
39,力学,小球と壁面との衝突,24 長崎大,A,小球が壁と繰り返し衝突する運動を反発係数で追う,小球が壁と繰り返し衝突する運動を反発係数で追う｜物理重要問題集 力学 問39【高校物理】,44,rikigaku_問039.png,完成,2026-07-26 09:04,完成
40,力学,小球と斜面とのくり返し衝突,25 熊本大,A,小球が斜面と繰り返し衝突する運動,小球が斜面と繰り返し衝突する運動｜物理重要問題集 力学 問40【高校物理】,45,rikigaku_問040.png,完成,2026-07-26 09:04,完成
41,力学,曲面をもつ台上の小球の運動,23 京都府大,A,曲面をもつ台上での小球の運動量保存,曲面をもつ台上での小球の運動量保存｜物理重要問題集 力学 問41【高校物理】,46,rikigaku_問041.png,完成,2026-07-26 09:04,完成
42,力学,上昇する板へのくり返し衝突,23 大阪公大,A,上昇する板に繰り返し衝突する小球の運動,上昇する板に繰り返し衝突する小球の運動｜物理重要問題集 力学 問42【高校物理】,47,rikigaku_問042.png,完成,2026-07-26 09:04,完成
43,力学,円盤と円環の多数回の衝突,22 浜松医大 改,A,円盤が円環に繰り返し衝突する運動,円盤が円環に繰り返し衝突する運動｜物理重要問題集 力学 問43【高校物理】,48-49,rikigaku_問043.png,完成,2026-07-26 09:04,完成
44,力学,棒でつながれた2物体の運動,東京大,B,棒でつながれた2物体の運動量保存,棒でつながれた2物体の運動量保存｜物理重要問題集 力学 問44【高校物理】,50,rikigaku_問044.png,完成,2026-07-26 09:04,完成
45,力学,摩擦のある回転台上の物体,福島県医大,A,回転台上で物体がすべり出す条件,回転台上で物体がすべり出す条件｜物理重要問題集 力学 問45【高校物理】,51,rikigaku_問045.png,完成,2026-07-26 09:04,完成
46,力学,摩擦を受ける小球の円運動,24 京都産業大,A,摩擦を受けながら回転する小球の円運動,摩擦を受けながら回転する小球の円運動｜物理重要問題集 力学 問46【高校物理】,52-53,rikigaku_問046.png,完成,2026-07-26 09:04,完成
47,力学,円筒表面をすべり落ちる小物体の運動,15 東京電機大 改,A,円筒面をすべり落ちる小物体の運動,円筒面をすべり落ちる小物体の運動｜物理重要問題集 力学 問47【高校物理】,54,rikigaku_問047.png,完成,2026-07-26 09:04,完成
48,力学,鉛直面内の円運動,20 信州大 改,A,鉛直面内で円運動する条件を求める,鉛直面内で円運動する条件を求める｜物理重要問題集 力学 問48【高校物理】,55,rikigaku_問048.png,完成,2026-07-26 09:04,完成
49,力学,振り子の運動,24 富山県大,A,振り子運動における糸の張力と速さ,振り子運動における糸の張力と速さ｜物理重要問題集 力学 問49【高校物理】,56,rikigaku_問049.png,完成,2026-07-26 09:04,完成
50,力学,半円形状の面にそった円運動,25 岡山大,A,半円形の面に沿う小球の円運動,半円形の面に沿う小球の円運動｜物理重要問題集 力学 問50【高校物理】,57,rikigaku_問050.png,完成,2026-07-26 09:04,完成
51,力学,ケプラーの法則,大阪市大 改,A,人工衛星の円軌道とだ円軌道をケプラーの法則で追う,人工衛星の円軌道とだ円軌道をケプラーの法則で追う｜物理重要問題集 力学 問51【高校物理】,58-59,rikigaku_問051.png,完成,2026-07-26 09:04,完成
52,力学,万有引力,関西学院大,A,地球と月の万有引力による運動とエネルギー,地球と月の万有引力による運動とエネルギー｜物理重要問題集 力学 問52【高校物理】,60-61,rikigaku_問052.png,完成,2026-07-26 09:04,完成
53,力学,半球内での物体の円運動,東北大,B,半球内面に沿う物体の円運動,半球内面に沿う物体の円運動｜物理重要問題集 力学 問53【高校物理】,62-63,rikigaku_問053.png,完成,2026-07-26 09:04,完成
54,力学,水平ばね振り子,24 広島工大,A,水平ばね振り子の単振動を調べる,水平ばね振り子の単振動を調べる｜物理重要問題集 力学 問54【高校物理】,64,rikigaku_問054.png,完成,2026-07-26 09:04,完成
