重問番号,問題名,分野,推定リード章,根拠(マッチしたリードα問題・スコア),確信度
1,斜方投射と相対運動,力学,2章,"降下中の気球から落とした小球の速さを求める｜リードα 第2章 基本問題26【高校物理】(章2, score=0.089); 上昇中の気球から落とした小球の落下時間を求める｜リードα 第2章 基本問題28【高校物理】(章2, score=0.086); 塔上からの斜方投射で最高点の高さを求める｜リードα 第2章 基本問題36【高校物理】(章2, score=0.071); 走る台車から発射した小球の落下位置を考える｜リードα 第2章 基本問題37【高校物理】(章2, score=0.07); 斜め下方に投げた小球が水面に達する時間を求める｜リードα 第2章 応用問題41【高校物理】(章2, score=0.068)",低(要確認)
6,斜面への斜方投射,力学,2章,"斜方投射が斜面に垂直衝突する条件を求める｜リードα 第2章 応用問題44【高校物理】(章2, score=0.118); 塔上からの斜方投射で最高点の高さを求める｜リードα 第2章 基本問題36【高校物理】(章2, score=0.096)",低(要確認)
8,人と体重計を乗せたゴンドラのつりあい,力学,3章・4章・5章・8章,"原点にはたらく5つの力の合力を求める｜リードα 第3章 基本問題46【高校物理】(章3, score=0.088); 速さの変化から物体にはたらく力を求める｜リードα 第4章 基本問題65【高校物理】(章4, score=0.086); 7通りの状況で物体にはたらく力を図示する｜リードα 第3章 基本問題47【高校物理】(章3, score=0.085); 剛体にはたらく複数の力の合力を作図で求める｜リードα 第5章 基本問題98【高校物理】(章5, score=0.083); 電車内外の視点でおもりにはたらく力を図示する｜リードα 第8章 基本問題160【高校物理】(章8, score=0.081)",低(要確認)
10,斜面に置かれたロープのつりあい,力学,3章・4章・6章・9章,"あらい斜面でばねが再び伸びる条件を求める｜リードα 第6章 応用問題129【高校物理】(章6, score=0.069); あらい斜面をすべり下りる加速度を文字式で求める｜リードα 第4章 基本問題81【高校物理】(章4, score=0.067); 45°斜面上の物体を引く糸の張力を求める｜リードα 第3章 基本問題53【高校物理】(章3, score=0.052); 斜面上のばねが最大に伸びる時間を求める｜リードα 第9章 基本問題183【高校物理】(章9, score=0.052); 30°斜面上の物体が動き出す直前の力を求める｜リードα 第4章 基本問題79【高校物理】(章4, score=0.05)",低(要確認)
12,支柱で支えた棒のつりあい,力学,5章,"支柱で支えた板がひっくり返る位置を求める｜リードα 第5章 応用問題104【高校物理】(章5, score=0.102); 壁と糸で支えた棒におもりをつるし張力を求める｜リードα 第5章 基本例題19【高校物理】(章5, score=0.078)",低(要確認)
13,糸でつるされた棒のつりあい,力学,3章・4章・5章・8章,"原点にはたらく5つの力の合力を求める｜リードα 第3章 基本問題46【高校物理】(章3, score=0.102); 速さの変化から物体にはたらく力を求める｜リードα 第4章 基本問題65【高校物理】(章4, score=0.1); 7通りの状況で物体にはたらく力を図示する｜リードα 第3章 基本問題47【高校物理】(章3, score=0.098); 剛体にはたらく複数の力の合力を作図で求める｜リードα 第5章 基本問題98【高校物理】(章5, score=0.096); 電車内外の視点でおもりにはたらく力を図示する｜リードα 第8章 基本問題160【高校物理】(章8, score=0.093)",低(要確認)
17,液体に浮く棒のつりあい,力学,4章・9章,"液体に浮かぶ円柱の単振動の周期を求める｜リードα 第9章 応用問題189【高校物理】(章9, score=0.096); 液体に沈めた鉄球の浮力と張力を求める｜リードα 第4章 基本例題18【高校物理】(章4, score=0.078)",低(要確認)
18,糸で連結された物体の運動,力学,4章・6章・7章・8章,"斜面上で静止する小物体の加速度を求める｜リードα 第8章 基本問題161【高校物理】(章8, score=0.104); 地球上と月面上での物体の重さを求める｜リードα 第4章 基本問題66【高校物理】(章4, score=0.085); 斜面台上を運動する物体の速度を求める｜リードα 第7章 応用問題149【高校物理】(章7, score=0.083); 糸につけた物体の等速円運動の張力を求める｜リードα 第8章 基本例題33【高校物理】(章8, score=0.082); ばねから離れた物体の速さと移動距離を求める｜リードα 第6章 基本例題28【高校物理】(章6, score=0.08)",低(要確認)
19,上昇する箱の中の小球の運動,力学,1章・2章・8章・9章,"グラフの空所補充で2物体の相対運動を解く｜リードα 第1章 応用問題19【高校物理】(章1, score=0.074); 加速するリフト内の小球の糸の張力を求める｜リードα 第8章 基本問題159【高校物理】(章8, score=0.074); 上昇中の気球から落とした小球の落下時間を求める｜リードα 第2章 基本問題28【高校物理】(章2, score=0.07); ゴムひもでつるした小球の運動を空所補充で表す｜リードα 第9章 応用問題190【高校物理】(章9, score=0.07); 半円筒面を通過する小球の速さを求める｜リードα 第8章 基本例題36【高校物理】(章8, score=0.057)",低(要確認)
20,気球と気球につるされた小球の運動,力学,2章・9章,"ゴムひもでつるした小球の運動を空所補充で表す｜リードα 第9章 応用問題190【高校物理】(章9, score=0.113); 上昇中の気球から落とした小球の落下時間を求める｜リードα 第2章 基本問題28【高校物理】(章2, score=0.093)",低(要確認)
21,運動の法則と等加速度運動,力学,1章・8章・9章,"半径方向の運動方程式から角速度を求める｜リードα 第8章 基本問題154【高校物理】(章8, score=0.115); 鉛直ばね振り子の運動方程式と通過時間を求める｜リードα 第9章 基本問題182【高校物理】(章9, score=0.109); 向きが反転する等加速度運動を解く｜リードα 第1章 基本問題14【高校物理】(章1, score=0.102); 等加速度直線運動の公式で速度と変位を求める｜リードα 第1章 基本例題4【高校物理】(章1, score=0.096); 追突を避ける2台の車の等加速度運動を解く｜リードα 第1章 応用問題21【高校物理】(章1, score=0.094)",低(要確認)
22,滑車と物体の運動,力学,1章・3章・4章・7章・8章,"斜面台上を運動する物体の速度を求める｜リードα 第7章 応用問題149【高校物理】(章7, score=0.061); グラフの空所補充で2物体の相対運動を解く｜リードα 第1章 応用問題19【高校物理】(章1, score=0.06); 複数のばねでつり下げた小球の全長を求める｜リードα 第3章 応用問題64【高校物理】(章3, score=0.06); 糸につけた物体の等速円運動の張力を求める｜リードα 第8章 基本例題33【高校物理】(章8, score=0.06); 滑車でつながれた2物体の加速度と張力を求める｜リードα 第4章 基本例題16【高校物理】(章4, score=0.058)",低(要確認)
23,力学的エネルギー,力学,6章・7章・10章,"一直線上の衝突で失うエネルギーを求める｜リードα 第7章 基本例題32【高校物理】(章7, score=0.104); 円軌道上の人工衛星の速さとエネルギーを文字式で表す｜リードα 第10章 基本問題203【高校物理】(章10, score=0.089); 基準を変えて位置エネルギーの差を求める｜リードα 第6章 基本問題111【高校物理】(章6, score=0.082); 弾性衝突と非弾性衝突のエネルギーを比較する｜リードα 第7章 基本問題143【高校物理】(章7, score=0.082); 自由落下する物体のエネルギー変化グラフを選ぶ｜リードα 第6章 基本問題116【高校物理】(章6, score=0.075)",低(要確認)
26,斜面をもつ台と小球の運動,力学,9章,"重ねた2物体が一体で動く摩擦係数を求める｜リードα 第9章 応用問題194【高校物理】(章9, score=0.096); ゴムひもでつるした小球の運動を空所補充で表す｜リードα 第9章 応用問題190【高校物理】(章9, score=0.073)",低(要確認)
27,斜面上の物体の運動と水平面上の台の運動,力学,3章・4章,"30°斜面上の物体の加速度と糸の張力を求める｜リードα 第4章 基本問題73【高校物理】(章4, score=0.103); 斜面上の物体とおもりの加速度を文字式で求める｜リードα 第4章 応用問題90【高校物理】(章4, score=0.103); 滑車でつながれた2物体の加速度と張力を求める｜リードα 第4章 基本例題16【高校物理】(章4, score=0.103); 45°斜面上の物体を引く糸の張力を求める｜リードα 第3章 基本問題53【高校物理】(章3, score=0.088); 30°斜面上の物体が動き出す直前の力を求める｜リードα 第4章 基本問題79【高校物理】(章4, score=0.085)",低(要確認)
28,2物体のあらい面上での運動,力学,1章・4章・8章,"地球上と月面上での物体の重さを求める｜リードα 第4章 基本問題66【高校物理】(章4, score=0.089); グラフの空所補充で2物体の相対運動を解く｜リードα 第1章 応用問題19【高校物理】(章1, score=0.086); 円錐側面をすべる物体の向心力を求める｜リードα 第8章 基本問題164【高校物理】(章8, score=0.069); 円錐内面をすべる物体の速さと周期を表す｜リードα 第8章 基本問題156【高校物理】(章8, score=0.068); 斜面上で静止する小物体の加速度を求める｜リードα 第8章 基本問題161【高校物理】(章8, score=0.068)",低(要確認)
33,空気の抵抗がある物体の運動,力学,4章・7章,"逆向きの2力を受ける物体の加速度を求める｜リードα 第4章 基本問題67【高校物理】(章4, score=0.115); 空気抵抗を受けて落下する終端速度を求める｜リードα 第4章 基本問題87【高校物理】(章4, score=0.115); 斜面台上を運動する物体の速度を求める｜リードα 第7章 応用問題149【高校物理】(章7, score=0.096); 30°斜面上の物体の加速度と糸の張力を求める｜リードα 第4章 基本問題73【高校物理】(章4, score=0.091)",低(要確認)
37,動く台車に乗る物体,力学,1章・4章・7章・8章,"斜面台上を運動する物体の速度を求める｜リードα 第7章 応用問題149【高校物理】(章7, score=0.082); 円錐側面をすべる物体の向心力を求める｜リードα 第8章 基本問題164【高校物理】(章8, score=0.06); グラフの空所補充で2物体の相対運動を解く｜リードα 第1章 応用問題19【高校物理】(章1, score=0.059); 逆向きの2力を受ける物体の加速度を求める｜リードα 第4章 基本問題67【高校物理】(章4, score=0.059); 糸につけた物体の等速円運動の張力を求める｜リードα 第8章 基本例題33【高校物理】(章8, score=0.059)",低(要確認)
39,小球と壁面との衝突,力学,7章,"斜めに床へ衝突する小球の反発係数を求める｜リードα 第7章 基本問題144【高校物理】(章7, score=0.119); くり返し衝突する小球のはね上がる高さを求める｜リードα 第7章 応用問題150【高校物理】(章7, score=0.115); 小球がはねかえる反発係数の条件を求める｜リードα 第7章 基本問題142【高校物理】(章7, score=0.083)",低(要確認)
41,曲面をもつ台上の小球の運動,力学,6章・7章・8章・9章,"曲面をのぼる小球の最高点の高さを求める｜リードα 第6章 基本問題117【高校物理】(章6, score=0.08); 曲面をすべる小球の速さと最高点を求める｜リードα 第6章 基本問題118【高校物理】(章6, score=0.08); ゴムひもでつるした小球の運動を空所補充で表す｜リードα 第9章 応用問題190【高校物理】(章9, score=0.075); 半円筒面を通過する小球の速さを求める｜リードα 第8章 基本例題36【高校物理】(章8, score=0.061); 平面上で衝突する2小球の速度を求める｜リードα 第7章 基本問題139【高校物理】(章7, score=0.06)",低(要確認)
43,円盤と円環の多数回の衝突,力学,7章,"くり返し衝突する小球のはね上がる高さを求める｜リードα 第7章 応用問題150【高校物理】(章7, score=0.105)",低(要確認)
46,摩擦を受ける小球の円運動,力学,7章・8章・9章,"半円筒面を通過する小球の速さを求める｜リードα 第8章 基本例題36【高校物理】(章8, score=0.082); 平面上で衝突する小球の速度と角度を求める｜リードα 第7章 基本例題31【高校物理】(章7, score=0.078); 往復する小球の変位のグラフと式を求める｜リードα 第9章 基本問題179【高校物理】(章9, score=0.078); 壁に斜めに衝突する小球の到達時間を求める｜リードα 第7章 基本問題145【高校物理】(章7, score=0.077); 斜めに床へ衝突する小球の反発係数を求める｜リードα 第7章 基本問題144【高校物理】(章7, score=0.077)",低(要確認)
50,半円形状の面にそった円運動,力学,8章・9章,"半円筒面を通過する小球の速さを求める｜リードα 第8章 基本例題36【高校物理】(章8, score=0.059); ゴムひもでつるした小球の運動を空所補充で表す｜リードα 第9章 応用問題190【高校物理】(章9, score=0.054)",低(要確認)
52,万有引力,力学,6章・7章・10章,"弾丸が木材にくいこむ時間とエネルギーを求める｜リードα 第7章 応用問題147【高校物理】(章7, score=0.093); 円軌道上の人工衛星の速さとエネルギーを文字式で表す｜リードα 第10章 基本問題203【高校物理】(章10, score=0.086); 基準を変えて位置エネルギーの差を求める｜リードα 第6章 基本問題111【高校物理】(章6, score=0.078); 弾性衝突と非弾性衝突のエネルギーを比較する｜リードα 第7章 基本問題143【高校物理】(章7, score=0.078); 一直線上の衝突で失うエネルギーを求める｜リードα 第7章 基本例題32【高校物理】(章7, score=0.078)",低(要確認)
53,半球内での物体の円運動,力学,1章・4章・7章・8章,"地球上と月面上での物体の重さを求める｜リードα 第4章 基本問題66【高校物理】(章4, score=0.087); 糸につけた物体の等速円運動の張力を求める｜リードα 第8章 基本例題33【高校物理】(章8, score=0.083); 斜面台上を運動する物体の速度を求める｜リードα 第7章 応用問題149【高校物理】(章7, score=0.062); グラフの空所補充で2物体の相対運動を解く｜リードα 第1章 応用問題19【高校物理】(章1, score=0.061); 糸を離した後の物体の加速度の変化を求める｜リードα 第4章 基本問題80【高校物理】(章4, score=0.061)",低(要確認)
58,たてばねによる単振動,力学,9章,"鉛直ばね振り子のばね定数と角振動数を求める｜リードα 第9章 基本例題38【高校物理】(章9, score=0.061); 円運動の正射影である単振動を空所補充で表す｜リードα 第9章 基本問題176【高校物理】(章9, score=0.059)",低(要確認)
59,単振り子,力学,6章・8章・9章,"水平面を回る円錐振り子の張力を求める｜リードα 第8章 基本問題163【高校物理】(章8, score=0.114); 水平に引かれた振り子の糸の張力を求める｜リードα 第8章 基本問題165【高校物理】(章8, score=0.111); 加速する電車内の円錐振り子の周期を求める｜リードα 第8章 応用問題174【高校物理】(章8, score=0.109); 振り子の張力と重力がした仕事を求める｜リードα 第6章 基本例題23【高校物理】(章6, score=0.091); 振り子の復元力と周期をg,l,αで表す｜リードα 第9章 基本問題186【高校物理】(章9, score=0.087)",低(要確認)
60,浮力と単振動,力学,4章,"水に浮く物体の密度と沈める力を求める｜リードα 第4章 基本問題85【高校物理】(章4, score=0.114); 逆向きの2力を受ける物体の加速度を求める｜リードα 第4章 基本問題67【高校物理】(章4, score=0.106); 液体に沈めた物体の浮力とばねの伸びを求める｜リードα 第4章 基本問題86【高校物理】(章4, score=0.082)",低(要確認)
